Training started for V3a_a_0_001
============================================================
Epoch 1: Train=0.049564, Val=0.017830, Data=0.049564, Phys=1633.503775, Lambda=0.00e+00, LR=1.00e-04
Epoch 2: Train=0.024192, Val=0.005597, Data=0.024192, Phys=554.682079, Lambda=0.00e+00, LR=1.00e-04
Epoch 3: Train=0.014094, Val=0.001968, Data=0.014094, Phys=343.537745, Lambda=0.00e+00, LR=1.00e-04
Epoch 4: Train=0.009580, Val=0.001195, Data=0.009580, Phys=365.448196, Lambda=0.00e+00, LR=1.00e-04
Epoch 5: Train=0.006716, Val=0.000791, Data=0.006716, Phys=460.990356, Lambda=0.00e+00, LR=1.00e-04
Epoch 6: Train=0.004926, Val=0.000626, Data=0.004926, Phys=547.837177, Lambda=0.00e+00, LR=1.00e-04
Epoch 7: Train=0.004023, Val=0.000492, Data=0.004023, Phys=587.881847, Lambda=0.00e+00, LR=1.00e-04
Epoch 8: Train=0.003415, Val=0.000356, Data=0.003415, Phys=603.690804, Lambda=0.00e+00, LR=1.00e-04
Epoch 9: Train=0.003028, Val=0.000332, Data=0.003028, Phys=612.900104, Lambda=0.00e+00, LR=1.00e-04
Epoch 10: Train=0.002712, Val=0.000275, Data=0.002712, Phys=623.301810, Lambda=0.00e+00, LR=1.00e-04
Epoch 11: Train=0.002456, Val=0.000226, Data=0.002456, Phys=628.031679, Lambda=0.00e+00, LR=1.00e-04
Epoch 12: Train=0.002246, Val=0.000198, Data=0.002246, Phys=633.432827, Lambda=0.00e+00, LR=1.00e-04
Epoch 13: Train=0.002101, Val=0.000204, Data=0.002101, Phys=637.585022, Lambda=0.00e+00, LR=1.00e-04
Epoch 14: Train=0.001969, Val=0.000178, Data=0.001969, Phys=643.592045, Lambda=0.00e+00, LR=1.00e-04
Epoch 15: Train=0.001847, Val=0.000136, Data=0.001847, Phys=647.783629, Lambda=0.00e+00, LR=1.00e-04
Epoch 16: Train=0.001738, Val=0.000154, Data=0.001738, Phys=649.868336, Lambda=0.00e+00, LR=1.00e-04
Epoch 17: Train=0.001663, Val=0.000135, Data=0.001663, Phys=650.978338, Lambda=0.00e+00, LR=1.00e-04
Epoch 18: Train=0.001576, Val=0.000110, Data=0.001576, Phys=656.363471, Lambda=0.00e+00, LR=1.00e-04
Epoch 19: Train=0.001524, Val=0.000129, Data=0.001524, Phys=656.283329, Lambda=0.00e+00, LR=1.00e-04
Epoch 20: Train=0.001447, Val=0.000118, Data=0.001447, Phys=658.647748, Lambda=0.00e+00, LR=1.00e-04
Epoch 21: Train=0.001391, Val=0.000107, Data=0.001391, Phys=660.591695, Lambda=0.00e+00, LR=1.00e-04
Epoch 22: Train=0.001323, Val=0.000097, Data=0.001323, Phys=661.364830, Lambda=0.00e+00, LR=1.00e-04
Epoch 23: Train=0.001290, Val=0.000100, Data=0.001290, Phys=663.405577, Lambda=0.00e+00, LR=1.00e-04
Epoch 24: Train=0.001249, Val=0.000087, Data=0.001249, Phys=664.930820, Lambda=0.00e+00, LR=1.00e-04
Epoch 25: Train=0.001209, Val=0.000082, Data=0.001209, Phys=665.935827, Lambda=0.00e+00, LR=1.00e-04
Epoch 26: Train=0.001170, Val=0.000082, Data=0.001170, Phys=665.904537, Lambda=0.00e+00, LR=1.00e-04
Epoch 27: Train=0.001136, Val=0.000068, Data=0.001136, Phys=670.076399, Lambda=0.00e+00, LR=1.00e-04
Epoch 28: Train=0.001103, Val=0.000064, Data=0.001103, Phys=669.257253, Lambda=0.00e+00, LR=1.00e-04
Epoch 29: Train=0.001073, Val=0.000068, Data=0.001073, Phys=671.549186, Lambda=0.00e+00, LR=1.00e-04
Epoch 30: Train=0.001036, Val=0.000066, Data=0.001036, Phys=670.386691, Lambda=0.00e+00, LR=1.00e-04
Epoch 31: Train=0.001013, Val=0.000058, Data=0.001013, Phys=671.488634, Lambda=0.00e+00, LR=1.00e-04
Epoch 32: Train=0.001001, Val=0.000069, Data=0.001001, Phys=671.856139, Lambda=0.00e+00, LR=1.00e-04
Epoch 33: Train=0.000973, Val=0.000069, Data=0.000973, Phys=673.961526, Lambda=0.00e+00, LR=1.00e-04
Epoch 34: Train=0.000961, Val=0.000061, Data=0.000961, Phys=673.057905, Lambda=0.00e+00, LR=1.00e-04
Epoch 35: Train=0.000947, Val=0.000059, Data=0.000947, Phys=673.158709, Lambda=0.00e+00, LR=1.00e-04
Epoch 36: Train=0.000912, Val=0.000056, Data=0.000912, Phys=676.167483, Lambda=0.00e+00, LR=1.00e-04
Epoch 37: Train=0.000894, Val=0.000057, Data=0.000894, Phys=675.395111, Lambda=0.00e+00, LR=1.00e-04
Epoch 38: Train=0.000875, Val=0.000055, Data=0.000875, Phys=676.807516, Lambda=0.00e+00, LR=1.00e-04
Epoch 39: Train=0.000853, Val=0.000054, Data=0.000853, Phys=674.570126, Lambda=0.00e+00, LR=1.00e-04
Epoch 40: Train=0.000838, Val=0.000046, Data=0.000838, Phys=678.599600, Lambda=0.00e+00, LR=1.00e-04
Epoch 41: Train=0.000811, Val=0.000050, Data=0.000811, Phys=677.915337, Lambda=0.00e+00, LR=1.00e-04
Epoch 42: Train=0.000804, Val=0.000051, Data=0.000804, Phys=677.314218, Lambda=0.00e+00, LR=1.00e-04
Epoch 43: Train=0.000798, Val=0.000043, Data=0.000798, Phys=678.045390, Lambda=0.00e+00, LR=1.00e-04
Epoch 44: Train=0.000770, Val=0.000045, Data=0.000770, Phys=677.422406, Lambda=0.00e+00, LR=1.00e-04
Epoch 45: Train=0.000758, Val=0.000043, Data=0.000758, Phys=680.047988, Lambda=0.00e+00, LR=1.00e-04
Epoch 46: Train=0.000735, Val=0.000037, Data=0.000735, Phys=678.525072, Lambda=0.00e+00, LR=1.00e-04
Epoch 47: Train=0.000735, Val=0.000032, Data=0.000735, Phys=679.330336, Lambda=0.00e+00, LR=1.00e-04
Epoch 48: Train=0.000730, Val=0.000043, Data=0.000730, Phys=677.239107, Lambda=0.00e+00, LR=1.00e-04
Epoch 49: Train=0.000711, Val=0.000039, Data=0.000711, Phys=680.161722, Lambda=0.00e+00, LR=1.00e-04
Epoch 50: Train=0.000712, Val=0.000039, Data=0.000712, Phys=680.145060, Lambda=0.00e+00, LR=1.00e-04
Epoch 51: Train=0.000692, Val=0.000036, Data=0.000691, Phys=677.864722, Lambda=1.00e-09, LR=1.00e-04
Epoch 52: Train=0.000684, Val=0.000032, Data=0.000683, Phys=678.382408, Lambda=1.02e-09, LR=1.00e-04
Epoch 53: Train=0.000666, Val=0.000034, Data=0.000665, Phys=676.038569, Lambda=1.04e-09, LR=1.00e-04
Epoch 54: Train=0.000655, Val=0.000033, Data=0.000654, Phys=676.078042, Lambda=1.06e-09, LR=1.00e-04
Epoch 55: Train=0.000662, Val=0.000035, Data=0.000661, Phys=674.926728, Lambda=1.09e-09, LR=1.00e-04
Epoch 56: Train=0.000637, Val=0.000036, Data=0.000636, Phys=674.615369, Lambda=1.11e-09, LR=1.00e-04
Epoch 57: Train=0.000636, Val=0.000038, Data=0.000635, Phys=672.883600, Lambda=1.13e-09, LR=1.00e-04
Epoch 58: Train=0.000628, Val=0.000030, Data=0.000627, Phys=672.434323, Lambda=1.15e-09, LR=1.00e-04
Epoch 59: Train=0.000622, Val=0.000034, Data=0.000621, Phys=670.330986, Lambda=1.18e-09, LR=1.00e-04
Epoch 60: Train=0.000604, Val=0.000034, Data=0.000603, Phys=671.707670, Lambda=1.20e-09, LR=1.00e-04
Epoch 61: Train=0.000600, Val=0.000034, Data=0.000599, Phys=669.437376, Lambda=1.23e-09, LR=1.00e-04
Epoch 62: Train=0.000591, Val=0.000031, Data=0.000590, Phys=668.132218, Lambda=1.25e-09, LR=1.00e-04
Epoch 63: Train=0.000592, Val=0.000029, Data=0.000591, Phys=666.472211, Lambda=1.28e-09, LR=1.00e-04
Epoch 64: Train=0.000582, Val=0.000034, Data=0.000581, Phys=668.148073, Lambda=1.30e-09, LR=1.00e-04
Epoch 65: Train=0.000573, Val=0.000027, Data=0.000572, Phys=666.774151, Lambda=1.33e-09, LR=1.00e-04
Epoch 66: Train=0.000566, Val=0.000029, Data=0.000566, Phys=662.911930, Lambda=1.36e-09, LR=1.00e-04
Epoch 67: Train=0.000550, Val=0.000033, Data=0.000549, Phys=665.511919, Lambda=1.39e-09, LR=1.00e-04
Epoch 68: Train=0.000546, Val=0.000028, Data=0.000545, Phys=663.822422, Lambda=1.42e-09, LR=1.00e-04
Epoch 69: Train=0.000531, Val=0.000031, Data=0.000530, Phys=663.289959, Lambda=1.45e-09, LR=1.00e-04
Epoch 70: Train=0.000525, Val=0.000032, Data=0.000524, Phys=660.996520, Lambda=1.48e-09, LR=1.00e-04
Epoch 71: Train=0.000527, Val=0.000024, Data=0.000526, Phys=662.278969, Lambda=1.51e-09, LR=1.00e-04
Epoch 72: Train=0.000524, Val=0.000023, Data=0.000523, Phys=660.210546, Lambda=1.54e-09, LR=1.00e-04
Epoch 73: Train=0.000514, Val=0.000021, Data=0.000513, Phys=656.092950, Lambda=1.57e-09, LR=1.00e-04
Epoch 74: Train=0.000506, Val=0.000034, Data=0.000505, Phys=658.525213, Lambda=1.60e-09, LR=1.00e-04
Epoch 75: Train=0.000500, Val=0.000023, Data=0.000499, Phys=656.785977, Lambda=1.63e-09, LR=1.00e-04
Epoch 76: Train=0.000496, Val=0.000021, Data=0.000494, Phys=655.486677, Lambda=1.67e-09, LR=1.00e-04
Epoch 77: Train=0.000485, Val=0.000024, Data=0.000484, Phys=654.772480, Lambda=1.70e-09, LR=1.00e-04
Epoch 78: Train=0.000479, Val=0.000022, Data=0.000478, Phys=654.558288, Lambda=1.74e-09, LR=1.00e-04
Epoch 79: Train=0.000482, Val=0.000019, Data=0.000481, Phys=651.869619, Lambda=1.77e-09, LR=1.00e-04
Epoch 80: Train=0.000480, Val=0.000023, Data=0.000478, Phys=651.181420, Lambda=1.81e-09, LR=1.00e-04
Epoch 81: Train=0.000473, Val=0.000021, Data=0.000472, Phys=651.121589, Lambda=1.85e-09, LR=1.00e-04
Epoch 82: Train=0.000467, Val=0.000024, Data=0.000466, Phys=649.008486, Lambda=1.89e-09, LR=1.00e-04
Epoch 83: Train=0.000460, Val=0.000016, Data=0.000459, Phys=648.015456, Lambda=1.93e-09, LR=1.00e-04
Epoch 84: Train=0.000460, Val=0.000022, Data=0.000458, Phys=646.979415, Lambda=1.96e-09, LR=1.00e-04
Epoch 85: Train=0.000448, Val=0.000019, Data=0.000446, Phys=646.976038, Lambda=2.01e-09, LR=1.00e-04
Epoch 86: Train=0.000443, Val=0.000019, Data=0.000442, Phys=644.418558, Lambda=2.05e-09, LR=1.00e-04
Epoch 87: Train=0.000444, Val=0.000021, Data=0.000443, Phys=643.089512, Lambda=2.09e-09, LR=1.00e-04
Epoch 88: Train=0.000443, Val=0.000017, Data=0.000442, Phys=642.852949, Lambda=2.13e-09, LR=1.00e-04
Epoch 89: Train=0.000436, Val=0.000016, Data=0.000435, Phys=640.530805, Lambda=2.18e-09, LR=1.00e-04
Epoch 90: Train=0.000440, Val=0.000017, Data=0.000438, Phys=640.345427, Lambda=2.22e-09, LR=1.00e-04
Epoch 91: Train=0.000426, Val=0.000017, Data=0.000425, Phys=638.280729, Lambda=2.27e-09, LR=1.00e-04
Epoch 92: Train=0.000429, Val=0.000015, Data=0.000428, Phys=638.676755, Lambda=2.31e-09, LR=1.00e-04
Epoch 93: Train=0.000423, Val=0.000018, Data=0.000421, Phys=636.685647, Lambda=2.36e-09, LR=1.00e-04
Epoch 94: Train=0.000417, Val=0.000015, Data=0.000416, Phys=635.643032, Lambda=2.41e-09, LR=1.00e-04
Epoch 95: Train=0.000423, Val=0.000019, Data=0.000422, Phys=631.633639, Lambda=2.46e-09, LR=1.00e-04
Epoch 96: Train=0.000408, Val=0.000018, Data=0.000406, Phys=634.617148, Lambda=2.51e-09, LR=1.00e-04
Epoch 97: Train=0.000404, Val=0.000015, Data=0.000402, Phys=632.371662, Lambda=2.56e-09, LR=1.00e-04
Epoch 98: Train=0.000420, Val=0.000013, Data=0.000418, Phys=630.600206, Lambda=2.62e-09, LR=1.00e-04
Epoch 99: Train=0.000409, Val=0.000018, Data=0.000407, Phys=628.005375, Lambda=2.67e-09, LR=1.00e-04
Epoch 100: Train=0.000406, Val=0.000013, Data=0.000404, Phys=627.983380, Lambda=2.73e-09, LR=1.00e-04
Epoch 101: Train=0.000401, Val=0.000013, Data=0.000399, Phys=626.263714, Lambda=2.78e-09, LR=1.00e-04
Epoch 102: Train=0.000405, Val=0.000022, Data=0.000403, Phys=623.793458, Lambda=2.84e-09, LR=1.00e-04
