Training started for V3b
============================================================
Epoch 1: Train=0.052568, Val=0.031652, Data=0.052568, Phys=1827.534713, Lambda=0.00e+00, LR=1.00e-05
Epoch 2: Train=0.046372, Val=0.027143, Data=0.046372, Phys=1607.900581, Lambda=0.00e+00, LR=1.00e-05
Epoch 3: Train=0.042353, Val=0.024301, Data=0.042353, Phys=1456.967872, Lambda=0.00e+00, LR=1.00e-05
Epoch 4: Train=0.039316, Val=0.022061, Data=0.039316, Phys=1341.042860, Lambda=0.00e+00, LR=1.00e-05
Epoch 5: Train=0.036838, Val=0.020203, Data=0.036838, Phys=1242.835326, Lambda=0.00e+00, LR=1.00e-05
Epoch 6: Train=0.034676, Val=0.018662, Data=0.034676, Phys=1159.336238, Lambda=0.00e+00, LR=1.00e-05
Epoch 7: Train=0.032735, Val=0.017207, Data=0.032735, Phys=1087.524866, Lambda=0.00e+00, LR=1.00e-05
Epoch 8: Train=0.030975, Val=0.015983, Data=0.030975, Phys=1025.866022, Lambda=0.00e+00, LR=1.00e-05
Epoch 9: Train=0.029265, Val=0.014743, Data=0.029265, Phys=973.691219, Lambda=0.00e+00, LR=1.00e-05
Epoch 10: Train=0.027697, Val=0.013690, Data=0.027697, Phys=930.182270, Lambda=0.00e+00, LR=1.00e-05
Epoch 11: Train=0.026251, Val=0.012751, Data=0.026251, Phys=893.185676, Lambda=0.00e+00, LR=1.00e-05
Epoch 12: Train=0.024829, Val=0.011831, Data=0.024829, Phys=857.409346, Lambda=0.00e+00, LR=1.00e-05
Epoch 13: Train=0.023491, Val=0.010983, Data=0.023491, Phys=826.280778, Lambda=0.00e+00, LR=1.00e-05
Epoch 14: Train=0.022238, Val=0.010191, Data=0.022238, Phys=798.678307, Lambda=0.00e+00, LR=1.00e-05
Epoch 15: Train=0.021046, Val=0.009475, Data=0.021046, Phys=771.630157, Lambda=0.00e+00, LR=1.00e-05
Epoch 16: Train=0.019943, Val=0.008781, Data=0.019943, Phys=746.503136, Lambda=0.00e+00, LR=1.00e-05
Epoch 17: Train=0.018842, Val=0.008256, Data=0.018842, Phys=721.249294, Lambda=0.00e+00, LR=1.00e-05
Epoch 18: Train=0.017814, Val=0.007549, Data=0.017814, Phys=695.549924, Lambda=0.00e+00, LR=1.00e-05
Epoch 19: Train=0.016815, Val=0.007245, Data=0.016815, Phys=673.106989, Lambda=0.00e+00, LR=1.00e-05
Epoch 20: Train=0.015823, Val=0.006676, Data=0.015823, Phys=651.519396, Lambda=0.00e+00, LR=1.00e-05
Epoch 21: Train=0.014799, Val=0.006204, Data=0.014799, Phys=633.120906, Lambda=0.00e+00, LR=1.00e-05
