Training started for V3c
============================================================
Epoch 1: Train=0.132876, Val=0.107135, Data=0.132876, Phys=6190.331261, Lambda=0.00e+00, LR=1.00e-05
Epoch 2: Train=0.121549, Val=0.098340, Data=0.121549, Phys=5719.367984, Lambda=0.00e+00, LR=1.00e-05
Epoch 3: Train=0.112829, Val=0.090683, Data=0.112829, Phys=5328.354916, Lambda=0.00e+00, LR=1.00e-05
Epoch 4: Train=0.105727, Val=0.084815, Data=0.105727, Phys=4991.532312, Lambda=0.00e+00, LR=1.00e-05
Epoch 5: Train=0.099484, Val=0.079635, Data=0.099484, Phys=4688.862080, Lambda=0.00e+00, LR=1.00e-05
Epoch 6: Train=0.094008, Val=0.075050, Data=0.094008, Phys=4414.313433, Lambda=0.00e+00, LR=1.00e-05
Epoch 7: Train=0.089105, Val=0.070365, Data=0.089105, Phys=4161.599543, Lambda=0.00e+00, LR=1.00e-05
Epoch 8: Train=0.084691, Val=0.066697, Data=0.084691, Phys=3928.942204, Lambda=0.00e+00, LR=1.00e-05
Epoch 9: Train=0.080416, Val=0.062443, Data=0.080416, Phys=3703.304793, Lambda=0.00e+00, LR=1.00e-05
Epoch 10: Train=0.076532, Val=0.058782, Data=0.076532, Phys=3494.251710, Lambda=0.00e+00, LR=1.00e-05
Epoch 11: Train=0.072780, Val=0.055519, Data=0.072780, Phys=3293.233295, Lambda=0.00e+00, LR=1.00e-05
Epoch 12: Train=0.069126, Val=0.052198, Data=0.069126, Phys=3098.736473, Lambda=0.00e+00, LR=1.00e-05
Epoch 13: Train=0.065647, Val=0.049251, Data=0.065647, Phys=2914.088720, Lambda=0.00e+00, LR=1.00e-05
Epoch 14: Train=0.062246, Val=0.046142, Data=0.062246, Phys=2735.393931, Lambda=0.00e+00, LR=1.00e-05
Epoch 15: Train=0.058946, Val=0.043071, Data=0.058946, Phys=2564.816318, Lambda=0.00e+00, LR=1.00e-05
Epoch 16: Train=0.055892, Val=0.040610, Data=0.055892, Phys=2407.708752, Lambda=0.00e+00, LR=1.00e-05
Epoch 17: Train=0.052823, Val=0.037992, Data=0.052823, Phys=2256.253823, Lambda=0.00e+00, LR=1.00e-05
Epoch 18: Train=0.049828, Val=0.035445, Data=0.049828, Phys=2112.012390, Lambda=0.00e+00, LR=1.00e-05
Epoch 19: Train=0.046858, Val=0.033034, Data=0.046858, Phys=1976.509660, Lambda=0.00e+00, LR=1.00e-05
Epoch 20: Train=0.044108, Val=0.030741, Data=0.044108, Phys=1852.184826, Lambda=0.00e+00, LR=1.00e-05
Epoch 21: Train=0.041467, Val=0.028752, Data=0.041467, Phys=1738.543630, Lambda=0.00e+00, LR=1.00e-05
Epoch 22: Train=0.038878, Val=0.026941, Data=0.038878, Phys=1628.332666, Lambda=0.00e+00, LR=1.00e-05
Epoch 23: Train=0.036335, Val=0.024734, Data=0.036335, Phys=1522.063865, Lambda=0.00e+00, LR=1.00e-05
Epoch 24: Train=0.033954, Val=0.022770, Data=0.033954, Phys=1424.101889, Lambda=0.00e+00, LR=1.00e-05
Epoch 25: Train=0.031771, Val=0.020882, Data=0.031771, Phys=1330.535507, Lambda=0.00e+00, LR=1.00e-05
Epoch 26: Train=0.029640, Val=0.019360, Data=0.029640, Phys=1244.590718, Lambda=0.00e+00, LR=1.00e-05
Epoch 27: Train=0.027647, Val=0.017809, Data=0.027647, Phys=1162.468500, Lambda=0.00e+00, LR=1.00e-05
Epoch 28: Train=0.025674, Val=0.016284, Data=0.025674, Phys=1085.038839, Lambda=0.00e+00, LR=1.00e-05
Epoch 29: Train=0.023914, Val=0.014864, Data=0.023914, Phys=1018.452318, Lambda=0.00e+00, LR=1.00e-05
Epoch 30: Train=0.022207, Val=0.013592, Data=0.022207, Phys=953.018559, Lambda=0.00e+00, LR=1.00e-05
Epoch 31: Train=0.020571, Val=0.012597, Data=0.020571, Phys=898.575025, Lambda=0.00e+00, LR=1.00e-05
Epoch 32: Train=0.019107, Val=0.011339, Data=0.019107, Phys=849.939528, Lambda=0.00e+00, LR=1.00e-05
Epoch 33: Train=0.017704, Val=0.010147, Data=0.017704, Phys=806.665825, Lambda=0.00e+00, LR=1.00e-05
Epoch 34: Train=0.016343, Val=0.009329, Data=0.016343, Phys=764.243157, Lambda=0.00e+00, LR=1.00e-05
Epoch 35: Train=0.015153, Val=0.008293, Data=0.015153, Phys=731.805149, Lambda=0.00e+00, LR=1.00e-05
Epoch 36: Train=0.014042, Val=0.007495, Data=0.014042, Phys=701.892326, Lambda=0.00e+00, LR=1.00e-05
Epoch 37: Train=0.013003, Val=0.006617, Data=0.013003, Phys=676.320362, Lambda=0.00e+00, LR=1.00e-05
Epoch 38: Train=0.012105, Val=0.006010, Data=0.012105, Phys=656.630661, Lambda=0.00e+00, LR=1.00e-05
Epoch 39: Train=0.011151, Val=0.005367, Data=0.011151, Phys=635.682215, Lambda=0.00e+00, LR=1.00e-05
Epoch 40: Train=0.010444, Val=0.004730, Data=0.010444, Phys=623.068724, Lambda=0.00e+00, LR=1.00e-05
Epoch 41: Train=0.009713, Val=0.004363, Data=0.009713, Phys=610.047676, Lambda=0.00e+00, LR=1.00e-05
Epoch 42: Train=0.009080, Val=0.003794, Data=0.009080, Phys=601.492642, Lambda=0.00e+00, LR=1.00e-05
Epoch 43: Train=0.008487, Val=0.003450, Data=0.008487, Phys=591.461365, Lambda=0.00e+00, LR=1.00e-05
Epoch 44: Train=0.007999, Val=0.003019, Data=0.007999, Phys=586.402837, Lambda=0.00e+00, LR=1.00e-05
Epoch 45: Train=0.007491, Val=0.002648, Data=0.007491, Phys=581.328217, Lambda=0.00e+00, LR=1.00e-05
Epoch 46: Train=0.007009, Val=0.002400, Data=0.007009, Phys=576.955147, Lambda=0.00e+00, LR=1.00e-05
Epoch 47: Train=0.006653, Val=0.002062, Data=0.006653, Phys=577.413114, Lambda=0.00e+00, LR=1.00e-05
Epoch 48: Train=0.006346, Val=0.001845, Data=0.006346, Phys=574.194244, Lambda=0.00e+00, LR=1.00e-05
Epoch 49: Train=0.006031, Val=0.001613, Data=0.006031, Phys=576.244018, Lambda=0.00e+00, LR=1.00e-05
Epoch 50: Train=0.005782, Val=0.001421, Data=0.005782, Phys=574.699201, Lambda=0.00e+00, LR=1.00e-05
Epoch 51: Train=0.005586, Val=0.001288, Data=0.005528, Phys=572.089492, Lambda=1.00e-07, LR=1.00e-05
Epoch 52: Train=0.005372, Val=0.001201, Data=0.005314, Phys=570.328826, Lambda=1.02e-07, LR=1.00e-05
Epoch 53: Train=0.005195, Val=0.001067, Data=0.005135, Phys=574.351592, Lambda=1.04e-07, LR=1.00e-05
Epoch 54: Train=0.004976, Val=0.000945, Data=0.004915, Phys=571.852750, Lambda=1.06e-07, LR=1.00e-05
Epoch 55: Train=0.004847, Val=0.000871, Data=0.004785, Phys=572.567888, Lambda=1.09e-07, LR=1.00e-05
Epoch 56: Train=0.004688, Val=0.000830, Data=0.004625, Phys=574.457653, Lambda=1.11e-07, LR=1.00e-05
Epoch 57: Train=0.004591, Val=0.000727, Data=0.004526, Phys=576.395057, Lambda=1.13e-07, LR=1.00e-05
Epoch 58: Train=0.004461, Val=0.000658, Data=0.004394, Phys=578.189906, Lambda=1.15e-07, LR=1.00e-05
Epoch 59: Train=0.004365, Val=0.000634, Data=0.004297, Phys=577.233847, Lambda=1.18e-07, LR=1.00e-05
Epoch 60: Train=0.004231, Val=0.000591, Data=0.004161, Phys=580.846036, Lambda=1.20e-07, LR=1.00e-05
Epoch 61: Train=0.004148, Val=0.000545, Data=0.004077, Phys=581.326393, Lambda=1.23e-07, LR=1.00e-05
Epoch 62: Train=0.004049, Val=0.000540, Data=0.003976, Phys=580.491168, Lambda=1.25e-07, LR=1.00e-05
Epoch 63: Train=0.003946, Val=0.000522, Data=0.003871, Phys=583.584253, Lambda=1.28e-07, LR=1.00e-05
Epoch 64: Train=0.003906, Val=0.000476, Data=0.003829, Phys=583.225865, Lambda=1.30e-07, LR=1.00e-05
Epoch 65: Train=0.003813, Val=0.000464, Data=0.003735, Phys=583.037644, Lambda=1.33e-07, LR=1.00e-05
Epoch 66: Train=0.003760, Val=0.000448, Data=0.003680, Phys=586.449830, Lambda=1.36e-07, LR=1.00e-05
Epoch 67: Train=0.003693, Val=0.000432, Data=0.003612, Phys=583.655212, Lambda=1.39e-07, LR=1.00e-05
Epoch 68: Train=0.003615, Val=0.000414, Data=0.003532, Phys=586.769446, Lambda=1.42e-07, LR=1.00e-05
Epoch 69: Train=0.003573, Val=0.000415, Data=0.003489, Phys=585.958070, Lambda=1.45e-07, LR=1.00e-05
Epoch 70: Train=0.003498, Val=0.000422, Data=0.003411, Phys=588.343964, Lambda=1.48e-07, LR=1.00e-05
Epoch 71: Train=0.003462, Val=0.000381, Data=0.003374, Phys=588.836058, Lambda=1.51e-07, LR=1.00e-05
